seed,days,cycles
\GMhmQ+W\k,5,1
785}7z]yN|,5,14
_kI&+]tj-C,5,1
xE]iZ.M77g,5,1
.D.gEX_\xz,5,3
",%d$ex-I8(",5,7
&>FAI0Cx$4,5,7
M(!}(OZ\(i,5,1
%+KhbE2lFg,5,1
e?q'g&z=xB,5,4
"J`^h""|8An{",5,3
PDK0'$#}>C,5,1
wS{]ApZ@kr,5,1
{.3N%Dc2jf,5,1
nDHZMS6E~#,5,5
ehGgA2k4;|,5,5
"|L_""?nYmCd",5,3
].NYAYQsyU,5,2
YFj$buJ/<F,5,2
"IBK*`|W""^~",5,7
C(2L!0qcAm,5,1
JsW|oX{r(H,5,3
*[<ngUl^J#,5,12
Yjkyk;}kVY,5,6
k%=0q_wu:2,5,1
c]ZV>v;7)[,5,8
$^Ykh{XH;0,5,1
"moh,;kh}/f",5,9
"5A""lBI+BJd",5,1
{T)D5v/YDS,5,3
q^0dvxqml},5,1
~Y3uwF2kF+,5,4
ae!GwmpU3),5,8
"V8@KE""1Uvb",5,1
+.6Yo<;1Ho,5,8
5__4cC{U/%,5,1
I9J-.!LaDc,5,6
0/3?g$XQ}l,5,1
dzxxh9[*Lk,5,7
"sG>R8""::i#",5,1
TzrC:$.YYx,5,3
FH8CPA0;sL,5,1
di#A;Lu*7R,5,1
*8UTNw//!;,5,4
087/?rYzz9,5,1
muAVNb~}&g,5,4
)(E7dyLAF~,5,1
}zPJb9TPUn,5,1
X$+.;<2{)T,5,1
"Qb^""py+.^a",5,5
"hpp%""xOM-#",5,5
&a?;BKKc[i,5,2
""":I#fpotR#",5,6
G+%>iAq}!},5,2
>}2QKgna^$,5,1
<*hi/h26Id,5,1
0s(Sq0FL5u,5,2
%OUKEsEgHO,5,2
u\FQDsHw#Q,5,4
NUi}W5vN|{,5,1
/H%'pWYd!A,5,2
FW^_=9pc=b,5,2
f2vgl%Us|O,5,3
3(9lc[t6X4,5,1
",#^a6A69xE",5,10
qSH'Ag<iZ9,5,3
/O@T:QR{HO,5,1
DKs&KCK/xD,5,1
%jp/__$_+\,5,4
sQ?WRiwbF9,5,1
`\W7S_&Z'|,5,2
"*a""K<AyN^v",5,4
<T6`G#*#Q-,5,6
@umi4rnN9=,5,1
-XpKQ\vwy=,5,5
xibSAl?K7!,5,2
QpQ2CD:eJZ,5,11
L!o7r{W`;#,5,1
nR<NUbhO}I,5,8
*(+6;LWYSz,5,2
#+E_h8Lunw,5,1
CS@4.QTNaQ,5,2
"|dKQw4,*K""",5,1
Hx}%C0k=p5,5,13
Wmdw&uB^3w,5,5
")U,*NzL]|n",5,1
FCnP%vSMmz,5,1
nGQE?CdF8F,5,2
4ALz]6E6Ha,5,1
|4``#fR)-G,5,6
-q_78Qvh_p,5,1
>)DW?y@@Z0,5,2
0?&GJ\5-0n,5,2
9]^S+Y83cU,5,1
>@G8]Fh-_B,5,4
"(^,0Ka2rU7",5,6
{lTJp#64@a,5,1
JMbs{sdlS%,5,2
ow>M.SDF>H,5,4
xD3DCfR]4m,5,7
=gG%aW_JEt,5,2
"xL,aLZu<ti",5,1
ulMJq#pKVU,5,10
":?t<'QKRx,",5,6
"|evi=8""&aF",5,1
()[dvny8r[,5,4
s^`iAqXAD:,5,1
%fY>JNkeJ2,5,1
0;{qH;'VX~,5,4
",F:TJI:R^e",5,8
|?'!@Kj0O;,5,2
LC`~_!!g7S,5,1
"mm\Xf4""%#,",5,3
5nkT<a'e8w,5,1
"G]]iMF""jqp",5,1
St6c|3`R1*,5,1
Kt*(\C`6c>,5,2
_NH?<u41!4,5,1
U;]<Yp]/%a,5,1
BN5@yfB@In,5,4
H>g9k1pj[],5,1
|HAu6]dS_+,5,6
pi;_'gc7g_,5,13
X4Cod>zk`N,5,2
6(bIiWQX8s,5,1
cN`L7#;iJ%,5,2
"#""q'MFN<=W",5,1
EmzSQ;\[I3,5,1
q:p>.bkWN&,5,2
1kv9#@un\u,5,9
"b;8'""u(<*A",5,2
Xsjk1]$Loa,5,3
\QJ{FpKVOB,5,1
\eXL~:J??B,5,1
"=""vvX@zC\!",5,3
7I@51$z7z?,5,1
&kS&[L'c2g,5,2
lBHVLd*t1p,5,1
o`UEca*ruJ,5,1
eVg?@0V&h#,5,3
ea^C$97+f^,5,1
"~OO>5P8Zr""",5,5
"RJ-\\,n\0G",5,1
m**}j%K9l?,5,3
"e!Y__{x$""c",5,6
$#Y@M;6.el,5,1
rX2Ni>nZXY,5,1
ixL4h^ofi2,5,3
YuPbbPf>^o,5,1
m9]W!c~5zf,5,5
"O=O""B(lrM~",5,1
ODN4>T'k</,5,3
O>Fr({Pw]},5,4
^mviD;p=_~,5,1
kJX?U5+diM,5,1
"^c_S""\qEW7",5,4
WGB&_.k\^J,5,1
23?MQ{d}'P,5,1
a#9&`!>c!:,5,1
S_WvxQ\[wb,5,2
oL:}7e&8+D,5,1
^.*{a=<C&k,5,5
"$imy@#f,ti",5,3
Q]GM5dj|PZ,5,3
!+G@:{fX.y,5,2
|fk0%[sVTQ,5,1
QqoDlG{1l=,5,1
x%f15Jq!ls,5,1
~W'78&#RT|,5,8
Piao<Mz*H1,5,1
0!;e4W\{BR,5,8
w(CZK]nCB?,5,1
@U')-=J5q8,5,10
SijT|ZJ'Q(,5,3
"xs]a/q\M""~",5,5
td`L:vSE[l,5,1
ZUb9Xcn$%q,5,2
qy``qgi3pa,5,1
&Q5Euvp-=Z,5,1
#%kK)T!qaL,5,13
'g;=o3rD~C,5,1
Z8&6KtC%aY,5,2
^t'=#R&o>m,5,1
gVagcvCxxB,5,9
AJIGZ1ba;6,5,6
mFsY$^5bdA,5,1
"P#gz@L0^m,",5,13
D#z-#(~F(s,5,2
^|U@|3?{i;,5,2
T!1wAZY)$#,5,3
SpXr1'<(fe,5,7
OD)q!T_J`},5,1
Gi<bs@_SX/,5,5
LAYogZMTKJ,5,1
"kI""x:I},[7",5,1
7i7j_EhkJ2,5,1
T<\:uR&h[S,5,1
V/O0!U'.s;,5,2
6u[u@1h^HQ,5,1
"TI[&92H""hq",5,3
u=Y^opO@yc,5,1
$=dpo-'kUr,5,8
&iDSovl6O#,5,4
'V@N82}PHk,5,1
KU]c?;y>w=,5,1
(bV!o4i7e8,5,2
Ezf#iJyCMQ,5,4
"Gd),\eFw|f",5,3
IR<dx?1P-4,5,3
"1(Hj$,4[r{",5,5
3I+=A7ZW$^,5,1
^Bb7+'W^;t,5,6
~r/nhwr`#x,5,3
L:a_c)B-lU,5,1
6^dAL;_{d_,5,1
aI0^DZ(8Vx,5,1
TY-$\mbbAD,5,3
byjJxuhLuF,5,1
pI#-Og{sOZ,5,2
"V:[m""UiA~\",5,1
T{t']}Dz|},5,7
2X6lkqpCp(,5,6
j7o8adTS$),5,9
Bxl&B/[>f6,5,2
?7UlC}(bSj,5,2
4kh?ZFm'.C,5,4
ppy<eX}UIX,5,13
)5GgAIkz2p,5,4
kE!cJ>q?;K,5,1
"_qR""r5Li*""",5,1
;]y-n.j^-<,5,7
|+aYPSwKm;,5,1
:#`{z=RY8=,5,1
bQ-$6`]$l*,5,1
vtcDb.u9QM,5,5
mtW3}pxQv~,5,11
.*d`v'_e$@,5,11
"%in""s>]Y`n",5,8
6LPMA(w?!6,5,1
",`6&FaI,Y*",5,7
>I[Nw_\y;+,5,3
z}%kFNlUPe,5,7
kksoX@Dm'F,5,7
Y6)I[0J/<-,5,4
[?TNP]KEe[,5,1
Z;sw@05*O2,5,1
t:bd@0{_j',5,9
"`>8r,KBWkZ",5,11
cjWteSJ%XL,5,7
pRaw&c_qSm,5,5
"~#g!uvmY@""",5,1
"""_y#).!u'[",5,1
BxtR&<;7XQ,5,5
PA+D(uJ_kL,5,1
Q}gi.nFao7,5,1
">m;+x""@U@1",5,3
E9I\lxPvc~,5,2
sB&E3?}3y1,5,2
+aUuQJT-2:,5,1
"qV^xEOuCh,",5,8
vTx{N[t[n',5,5
}~<g~T%y1I,5,1
"9DL.//8""h7",5,3
y!ww(.ue|u,5,1
f:A>PmZKaV,5,5
;D82[07t1S,5,1
"~mj(1c4.G""",5,1
mN/2RLFBE5,5,2
:vpAaKGeDA,5,1
NEBo7G_m1C,5,3
pdP;g[:3dl,5,1
;HaHR%/Tuo,5,1
gqZfGnid|?,5,1
GGJU#y*SUI,5,1
w9dU%MC%Ax,5,5
33dWofRR.w,5,1
1P9rmRjdk^,5,1
B{;lKWc#_:,5,1
"<_Ho,Wik<b",5,1
.s#_L:&Wo8,5,4
E-pUZT`[l{,5,1
i8tXf=0[qO,5,1
bc$cIWF+TX,5,1
"6,a2&G},U7",5,1
9-9Zaq2nU$,5,1
8bD9*wYV^8,5,1
&oVb-!RjAF,5,2
"FOz$""7AC""X",5,9
6yd0XQyE=M,5,10
]THt.bWCA>,5,1
h:ySc^9;n3,5,4
JFYJ~p:*|),5,4
UYPn5gFig9,5,1
XKf)HW`j!G,5,12
Y*|4-+CQ6R,5,10
2+>QPp\Dst,5,1
;!rbFP?~hS,5,1
"m7Q,R7D'eO",5,1
[-l+)I*Ww-,5,8
U^H}5B5=k{,5,7
4[]Kd(JQn~,5,13
*ovs)R4~xe,5,9
voA?)OV7<T,5,5
"%LR""*PU2Q1",5,1
I_bpcdYXh!,5,3
Wd+VB6wHKZ,5,1
>/88PVnKyU,5,8
Bxqd}})M)+,5,9
IHzu0`H=FN,5,7
K_r_c`y`:N,5,1
;ds|:1tm-T,5,1
}zU_$Yr+;U,5,1
oKv<L\H}}H,5,12
xf9hFJ(kA<,5,1
x*m5d!WnKI,5,1
"<I,nuAyXlq",5,1
r!TZu2^+=9,5,3
T{VH&[aCx!,5,4
LN\_ZU:M#],5,3
=XR`m4!.82,5,3
#80)f21.o1,5,8
"/i@z?p,8~2",5,9
Z6ne6)?(Jp,5,8
(s{g`Yfj(R,5,3
?<4@S:/\}c,5,10
J'qh?n_[C-,5,1
<svu2zMRv{,5,3
"LzpzD,y$!v",5,13
BF2Mmo'{=g,5,1
R]y-Cm|bw+,5,1
@RlYDhZO'O,5,6
"dWOZF|l8,%",5,11
"""`+u6lpzW6",5,5
_!/S6ls7o`,5,3
?opLp(mx)r,5,2
LJUgKkC88+,5,1
A7w3[8`XLW,5,4
a)E&;5a4N|,5,2
wVQH-$QD8D,5,2
"v;{""4ue@Bj",5,1
ikE=y%dG:%,5,4
~N/OdTY&8+,5,1
^H8RK/;x\-,5,2
\ny+j4bGpw,5,1
9/DB$TUl#],5,2
jX#zcq+/@@,5,12
g~5ppFS89D,5,3
4.]KcHpsW],5,1
.%IJ&0{q$r,5,1
p-;ujEY`2^,5,2
c?^n[C{>1^,5,1
RS*[*1\O%B,5,2
>477Tog6Dj,5,2
r)D8kl=[xe,5,1
"Hx5|m,rfHg",5,2
?v9TI<YLcU,5,1
I@G[MjM6_H,5,13
-p;02>~Mn$,5,6
027w5l472',5,1
/+LC%M7%s#,5,1
+_vY@~Lw9w,5,3
"x,9)dM!X5-",5,1
=}ZB$>xgyc,5,1
IfIy\H^L;d,5,13
s7i7&E5RVL,5,9
o^~T[%:hk9,5,1
NC$62Pd0R4,5,5
"]+Y3&E!t0,",5,2
_Hw|v3z!M4,5,2
"CpI,=VP""nT",5,8
S8{<Z_lw=*,5,6
"/~,I[yn)2g",5,1
#K|nZ6zUH3,5,2
E@VX|!}4PH,5,3
c@e:)Cma}.,5,14
q!Sb?>[MKP,5,2
T;E~`N2w#o,5,1
`nbI@^gr7m,5,1
V2'>*z6N'f,5,10
HF_2cRtQ/2,5,8
lt{_>1+ZIT,5,9
X4jLY)sKK>,5,1
G%{k<Gw3`R,5,8
]zOLc22]k3,5,1
OY2|LniEN5,5,1
"h"";[.y`IT|",5,14
GD^DT3&diW,5,1
#2gOO3sitd,5,4
~.p>y}8]Lt,5,1
eT}SL;;>h|,5,1
FuzI]p*Me],5,1
T[CqIrixy@,5,8
9lTAUQHS!f,5,1
voD=A5nE%E,5,6
[[sO69scse,5,1
NIY{!p8GqL,5,3
29z{1qH>KH,5,5
9YvVt#gtDV,5,14
u`}zd]yQ{c,5,1
ZSmz`5bH$u,5,1
'bl^T:(:uj,5,13
"K1_l,{nr""i",5,2
1*MzAkuoUP,5,11
*X6UH.E88P,5,2
cqMKo[doL3,5,1
h;:tS3DmM',5,1
8}`S&J)*jc,5,1
"""yrpRL6u|t",5,4
)`K!3K43$b,5,1
x>`Tk5}xk$,5,2
$gE9Ddhy;>,5,1
Avi4yiWE0s,5,1
fjDFA[0dyM,5,1
8!.`~AUUzP,5,5
GGrmQoxUMN,5,1
"jvh^xD,&g0",5,1
b!V^[m@nHg,5,1
A#iI27~r04,5,5
UD2LbE>tgU,5,4
;lW2cL;hW&,5,1
UMC_}lmE%I,5,3
-IgdY2+76q,5,3
?Z[Licv>Cr,5,1
G&m9:9W)TL,5,1
9*uEkWZrj',5,1
A&G7m)tv70,5,8
Pe9K.J_6BO,5,1
.)2<;6E+kW,5,2
6VB\<S&uy(,5,1
Ih@7iN9*|=,5,12
7_CeGDstCT,5,13
d\nf=Wl!(4,5,3
"TM}2~?+I/""",5,1
"b2g""]=$r~s",5,1
i-/`{Pk{Vi,5,1
"2d;W\/,d!L",5,1
JjW$q'lN1@,5,2
0o=dYvHeKw,5,1
~6[-Lo6/EW,5,1
"uN\""Q}`79j",5,5
#dt2'12h'#,5,1
F?*#)e6k%x,5,7
#oO4-a(GTS,5,1
"Z""""Ij<Pq9|",5,2
"~,6k.X}Ot=",5,1
"$aMzY""$3d>",5,5
XTgI$sHbkF,5,1
uDU\@zs:/],5,10
LQ$n+x|8Fa,5,1
IkLnXG}->N,5,1
*a>Q\AM.Y@,5,10
"gI1w:?""id8",5,4
-I=Ry_i9n7,5,2
T1_2A%.730,5,12
pML-up?+{B,5,7
nuWP'z<+Zt,5,12
"bD=*0.%U,)",5,14
Amul:i\[Uw,5,6
kp/9Qxys*%,5,1
T5<]f|S0DK,5,14
hisbOBtHub,5,3
2<M}rt+ad:,5,1
]5BMU:!?RE,5,2
{WejVbi05v,5,1
[{&&XnJ6z5,5,4
=t}z*z>[R?,5,5
K_X5)f-M>;,5,1
t{sXy:O2y3,5,7
9Xy%=1'v{n,5,2
n79c3xxUfY,5,1
T=JtDowPWf,5,1
gp1C*3c~/a,5,6
gp(vPJhS(`,5,1
"Y<fihbM,J-",5,1
Qq$4&DEBF},5,1
#;OmH5kAAB,5,7
Uz#GJB-!c*,5,1
"a|B~g""E?Z2",5,8
WHsz|s:@`.,5,1
^)gsj@C}SF,5,1
+%pr!mn[jp,5,12
"x|n,\efZsH",5,11
.:aBzceDO1,5,1
(#>)qdzg/5,5,10
(->j{~i<^7,5,13
8N+KiUXbIK,5,3
/H;nG$1kbQ,5,6
D:>{Q22/{],5,4
.>?$3zOT$2,5,2
PQ&&VM$|AT,5,3
K8pk/mAXA1,5,1
@h'oMqn11|,5,1
WT1'clNQl2,5,1
"?NrNA>l,3g",5,1
"W(&|d`,%Pp",5,9
Qx/iqj(Uf&,5,4
o'nIT>rsu2,5,1
C'OI>TmI0c,5,5
{{5=PhC;uR,5,1
At!_%UV*MR,5,1
2TyQ$1P6y%,5,1
&tI/F+h\Xj,5,5
"U""w8E&X$^s",5,4
C`vk~w(?Ad,5,2
6mR-<v'orf,5,4
"n,}L_s!V9Y",5,3
w.7=G7Cv%x,5,1
qLRZ=b6UYb,5,1
k7]qZ7A$A<,5,11
sm3.$(qPF>,5,1
"NIe=xo"".1C",5,1
-1I(/&A>&M,5,1
2~%QQflYnn,5,1
e;d:=)m<X>,5,2
g]WkcI<a~>,5,1
2$uKwa-n!j,5,14
".6""3+3h<F""",5,4
<=8K@}RTxp,5,1
nLx#vso*u7,5,7
"{K=Vw:8{O""",5,2
_kNG]*iD5d,5,13
yW/l#Iu8EK,5,12
@j--ebbHYR,5,4
o-8_Q*>]ys,5,8
6zBmpkx/}`,5,1
iMkByMYF.{,5,1
8cImoiODKC,5,1
$Q\\Ic[*^%,5,8
#dKz=R#M2y,5,5
g\:qaZbJs:,5,1
Zr|mN8yrzp,5,4
@f6Wx6FgID,5,1
m`90(59/Nm,5,4
"wI""jQCXR3:",5,8
P3wh?0!7Db,5,13
:$T{U{BcQH,5,6
3qJXB%=cA#,5,4
"94)""XM<F#+",5,1
uUa/'#':U^,5,2
#YR`H#f\6N,5,1
_uS81#Bpn',5,1
@\4-79Oge^,5,1
~`yVybry5R,5,3
(GkU!k<Hsa,5,8
+{j}.4nQ]5,5,11
aJdrzwkiJl,5,1
Xt?M!Lz4]s,5,10
(^azVLI?26,5,2
uPQTpqRthe,5,9
*0A_0a(p0o,5,1
^W(7W7Z[bw,5,2
|G`x%bKZSc,5,1
$;!8m{[(d%,5,1
3zaez+M%fr,5,6
"nZr""X-VXrT",5,1
z6_u%YSS~C,5,1
3mn_/R3n1-,5,7
kNvJ4D2<(|,5,1
`GwkttA-2e,5,10
~zTg[VhtN*,5,4
1a`7l_Ip3M,5,14
#0*OAw1T9I,5,5
H//AGN`r[3,5,8
!4AT8R)51R,5,1
#X]3-IkSj^,5,2
%#XSBamJbn,5,5
Uy%m/Kk>DJ,5,1
zF:2l^<#Z!,5,5
"via_c|c/,.",5,2
**.hcbq1F6,5,1
"'WR,}|Gq~a",5,2
O;;/$rWPE_,5,12
rW:{-m&eQ>,5,7
$g>30DOIk>,5,2
^=_AsYgi??,5,3
lcuo*0(8k},5,1
w(f~\Ws~i7,5,1
ZyrG9e1W=2,5,2
05*^yl&{Yu,5,2
0CN4;ND^gg,5,2
l#kvbQ]KV/,5,2
We[P&2Y8b_,5,1
"""^62__J$BK",5,4
",xld5u|p_t",5,11
"Arn""!yF],Q",5,4
'[tC#'Dy7t,5,4
*29+/&WWX_,5,4
b5~20:jL!z,5,2
8X@e}I;5CN,5,1
\J%vEU0|<&,5,3
6&F#{KEap[,5,2
$#7ZO$5f_b,5,12
]A5~lh&q|N,5,8
"L+""I&1TZYb",5,3
W}04JKAN7<,5,1
"]R\K,ok|0.",5,1
"Y1.""I-R2+k",5,2
WX>/bkRGI<,5,2
gWBV[)-6CT,5,5
KPFOM^T\f],5,1
w^UaAig]LB,5,8
k[mVp5FI#*,5,1
"_Qc,Brnbc2",5,2
<VEC67Ss1@,5,1
]y[:$5I$p3,5,1
"sqZxE,6nZ=",5,5
pj{.}1%(&p,5,4
0-YR>i;=EA,5,5
"9""k3'nIn@;",5,7
c]uf&oAMAf,5,1
b[JEn={Fmo,5,1
C#g3rMR!'l,5,3
6vLWKDEDUr,5,2
f%`DYe-dM9,5,3
)^)pZB;/)T,5,1
xc|p_M46\Y,5,2
#M8G&bt1/k,5,2
"s)2)>,[YzR",5,1
+T.ee|5_NB,5,14
?~?\]|HczG,5,4
9S>@?rA6*_,5,14
n*L8U).L*+,5,1
#X&AMl4C7f,5,1
FpZ=|S~sIA,5,4
*+KKciN|<7,5,3
nRHbE5mt8~,5,2
;.hniOCszw,5,1
5e3h[AOAme,5,1
u:ZxJlLpDj,5,1
"u`mL""Cu!M?",5,2
x*XOS=*{^_,5,1
/7xQ]h=)Za,5,1
saMg98sEU$,5,4
hOKub~Q`7!,5,2
zMv5#KL/E;,5,2
qQ]f5Fog\R,5,4
()~F3U;b'O,5,4
"/xEdS""gtgg",5,1
RVBcn[{oOR,5,2
@+{T}6Ax2=,5,1
YpzV#JQze+,5,2
'FN>]qTY;q,5,1
kiZ;d83H+&,5,1
kG4LZo(5~G,5,1
5j}Ao+r1G8,5,1
tv+~G=MlqO,5,1
&O[0g\Dl62,5,1
jG0W:;g4=Z,5,3
T2+6mYFG}b,5,5
`If5(~IK[t,5,1
(VQ@Ioq4A$,5,4
";$N""N""8{)K",5,14
oa)n)CiqSI,5,3
OQ/0`|a1&/,5,1
{PROQ]4+Np,5,1
")(u;)yG|R""",5,1
1zLv/cU\W4,5,1
oi>gGm*yAK,5,6
*~&-|:cw=|,5,1
",@\g(+$uFK",5,4
"u1~v1""2v{%",5,5
apcZ0{dRCF,5,1
^?fU:Z%'x!,5,1
FSbN/eJz|E,5,5
+%L`kb6JV@,5,2
&/^n@ggLHP,5,5
VQ-KzLou+o,5,1
"CTox02,4/o",5,6
Ua2hlMq?{{,5,3
S.{p^Kv<^C,5,8
@RR;NPck|5,5,1
"jW@du1$S,&",5,2
};]dLI=H`<,5,1
.dW}H\CnnB,5,2
xmZx!vO|Fs,5,1
L?$)uQHvU],5,1
#rv$olWrP-,5,6
j%g<POhLrG,5,7
\J(].r#Q&),5,3
2/L]RL/<Tv,5,1
X>a6@Q]Ydf,5,11
;tmYF2ro/@,5,4
CL6g`<`ePq,5,1
/aSkV:zIFV,5,13
5d0>7pF!r],5,10
X8qmht3RUI,5,12
r^%MG/Gq7j,5,1
"At,rL]a'Be",5,6
~K-?0owt3I,5,2
Rdmz'cfy#p,5,4
mCi(;fHR]S,5,5
ZC5S$8k\qp,5,1
]aks}yz(g},5,1
E:Fb8\Z4ye,5,1
O`SNgBm_xq,5,4
ge/VET2@X*,5,1
ZQdV>-1M=d,5,2
dh2)Gw]Tq>,5,12
'p>epKS7U7,5,6
"#@>hk\f5""w",5,1
"52x,~fx}.R",5,1
mdTrQ1EO64,5,1
ayMVKG?qAF,5,2
"[,==]]>@s`",5,1
t\Q-7F<Jj+,5,1
!>@[uN3wB;,5,3
$n?^676i:i,5,2
!9r[^a8SEH,5,7
1Q:t>Q4{;d,5,1
\2zo@{6Wta,5,1
"DYqlUr6@O""",5,1
jGlojIw+p9,5,1
kH@|#U:=1Y,5,2
}P#U?L{{*?,5,4
qez=)\gxQR,5,1
:-$09sVY%N,5,1
"_/$#,RAQ$:",5,2
8~*2<KA+CS,5,12
W.Ij2H]($I,5,3
Ts;1=Y2a0?,5,10
.B)I&SE1{',5,3
&@HLC^MFEl,5,4
}YX!j=0'cd,5,1
CYaWA%F7xS,5,1
Xo@g<^bQZ=,5,1
V/WXS*yMR&,5,3
wgH.^ev2/{,5,1
O.n[W0_<Aq,5,1
vFI#)+4>)-,5,1
"f!v3}B\<""B",5,1
|%EC{2iyL),5,1
h5q9-:r}N;,5,1
"<F6E75@K,.",5,5
y-35dL5u}G,5,2
UUa#qWL|6^,5,2
ArLECm$;Mo,5,8
dfJU/H]f>p,5,6
"^2Bf1B""DO7",5,2
J<#z>Q7YUV,5,7
Q|9\ZQ'axf,5,1
?w9[AuT)/w,5,1
z{E|Mhha\>,5,5
b$`8sk?=8m,5,1
&0Ns+RIHi4,5,1
)V47AkfIZX,5,10
0/65bh7cM@,5,1
)Dw-sUr`yG,5,1
u=cg@4t~jK,5,1
03t`UKdH_2,5,1
bssN<~\^B:,5,1
7$@\zbn/D#,5,2
lGvxn={Tr',5,1
";SHL-A}""Ju",5,1
VsJ[NKV|xg,5,2
X-+/M>uLDe,5,1
'_bmH11S9L,5,1
"rUFO$(,.~{",5,2
P-=<`%4jmT,5,1
"""xAsKD}P7K",5,4
T4LY&J;-vK,5,1
iLs47Zpy|3,5,2
_rE/M4l|ax,5,1
&$Qyt0.5$x,5,1
#(V<Nn@#M],5,1
<Wj/S{5-L_,5,2
]Q|F^X?!*0,5,7
xr8~qF`Uud,5,1
j<P}Y-r~_],5,1
"@\Sq'W5""sO",5,1
"G{4:&""8W_o",5,1
"y1m8*|k&#""",5,7
"={8qpLq""}'",5,3
osN+4&M+Yk,5,1
5\A|H-]ngj,5,4
"<Htk}V,5x0",5,1
x^23D${1WW,5,1
]'5-RK?jqi,5,1
7Kx-=akR]!,5,1
se8e9^T7!O,5,3
E6O]jBj)\f,5,2
{K+$qa.6g=,5,4
Rw^B1H~lZ?,5,1
"Sgb?d5""|o7",5,4
